title,artist,chart_entry_date,peak_rank,top10,stream_window,window_length,danceability,energy,valence,tempo,acousticness,instrumentalness,liveness,loudness,speechiness
$$$ - with Matt Ox,XXXTENTACION,2018-03-16,28,0,"[39010, 75328, 7066, 1113, 1402, 4194, 15227, 9142, 24180, 1201, 25007, 7447, 725018, 2488, 1865, 2988, 65415, 2385, 11793, 5861, 7812]",21,0.774,0.507,0.508,140.067,0.0636,0.0,0.138,-6.952,0.065
'Til You Can't,Cody Johnson,2021-10-08,127,0,"[249850, 242715, 196772, 222688, 212177, 214064, 217902, 200568, 207993, 208312, 211258]",11,0.501,0.815,0.46,160.087,0.0513,0.0,0.106,-4.865,0.0436
(Don't Fear) The Reaper,Blue Öyster Cult,2017-10-26,43,0,"[3774, 43767, 43620, 18672, 49384, 613988, 7182, 61392, 373148, 169918, 19842, 72747, 815570, 8221, 12190, 90004, 434252, 28148, 406055, 72222, 6257]",21,0.333,0.927,0.385,141.466,0.0029,0.000208,0.297,-8.55,0.0733
(Everything I Do) I Do It For You,Bryan Adams,2017-02-09,92,0,"[3578, 47644, 11645, 20584, 2185, 3987, 4840, 57310, 56886, 26878, 2548, 32485, 4723, 8835, 1988, 26361, 9731, 6097, 51452]",19,0.533,0.36,0.299,131.229,0.0805,1.03e-05,0.0631,-12.633,0.0282
(Sittin' On) the Dock of the Bay,Otis Redding,2020-04-26,121,0,"[47890, 56869, 44159, 51635, 48838, 56528, 8605, 69466, 64058, 8757, 6862, 41777, 50314, 49195, 46224, 52859, 49618, 60596, 55560, 45238, 18586]",21,0.769,0.367,0.535,103.621,0.684,1.62e-05,0.081,-11.226,0.0312
(You Make Me Feel Like) A Natural Woman,Aretha Franklin,2018-08-16,49,0,"[27185, 397194, 129025, 29475, 3561, 7828, 35740, 4291, 9719, 1018, 940953, 30034, 34780, 7738, 1285, 4789, 41756, 13735, 3471, 132005, 42812]",21,0.603,0.271,0.405,110.89,0.679,0.0,0.141,-10.083,0.0284
(não) era amor,GIULIA BE,2020-03-15,40,0,"[81623, 100426, 93690, 95899, 98509, 4998, 100022, 88866, 82247, 89750, 90224, 88418, 99603, 94875, 89599, 76639, 83361, 82844, 77976, 80348, 76119]",21,0.625,0.555,0.328,88.888,0.415,0.0,0.143,-6.43,0.146
0.03,ØZI,2021-02-14,8,1,"[17181, 17194, 15356, 14828, 13864, 17380, 15950, 15291, 15270, 15371, 19486, 26362, 27840, 23853, 21714, 21916, 21163, 20791, 19988, 19842, 17452]",21,0.786,0.669,0.679,117.945,0.0566,0.0,0.245,-5.944,0.0737
00:00 (Zero O’Clock),BTS,2020-02-21,5,1,"[42928, 35892, 3655, 1571, 2583, 3633, 25336, 29980, 6757, 6135, 11815, 22279, 2275, 2217, 21295, 39581, 28733, 3218, 83912, 518265, 2984]",21,0.56,0.547,0.199,157.962,0.0806,0.0,0.11,-6.456,0.0675
0X1=LOVESONG (I Know I Love You) feat. Seori,TOMORROW X TOGETHER,2021-05-31,7,1,"[2536, 7721, 2822, 23597, 9033, 13042, 3950, 27254, 3635, 78575, 2865, 30954, 9090, 90660, 51373, 5024, 1048823, 1860, 1109, 17516, 8156]",21,0.584,0.836,0.484,104.973,0.0558,0.0,0.0663,-4.925,0.079
